time,l2,linf,rel_l2
0.0,0.056300672026165004,0.18568066699835328,0.17133359237238782
0.02,0.03810894654087634,0.1372260633501599,0.20966926341171174
0.05,0.024527527508434833,0.09603672810404251,0.32804235653794994
0.1,0.014219807120588216,0.04849617377286892,0.835828290368364
